U(V),I(A)
2.5100701553e+00,7.8031375867e-08
2.5241324355e+00,9.1245701000e-08
2.5381947158e+00,1.4514626267e-07
2.5522569961e+00,1.4747975467e-07
2.5663192764e+00,8.6567770600e-08
2.5803693693e+00,9.4847220400e-08
2.5943969626e+00,1.5619810333e-07
2.6084592429e+00,1.5520421813e-07
2.6225215232e+00,8.5452851933e-08
2.6365838035e+00,9.6601889400e-08
2.6506460837e+00,1.4966509800e-07
2.6647083640e+00,1.5586680533e-07
2.6787706443e+00,8.7431174333e-08
2.6928329246e+00,9.0277069733e-08
2.7068952048e+00,1.5153103400e-07
2.7209574851e+00,1.5580221053e-07
2.7350197654e+00,8.8037374467e-08
2.7490820457e+00,9.0934185467e-08
2.7631443259e+00,1.4634190467e-07
2.7772066062e+00,1.5143456667e-07
2.7912688865e+00,8.1247000467e-08
2.8053311667e+00,8.4338056333e-08
2.8193934470e+00,1.4493831133e-07
2.8334557273e+00,1.5305701733e-07
2.8475180076e+00,8.4212495467e-08
2.8615802878e+00,8.7325920933e-08
2.8756425681e+00,1.4026664133e-07
2.8897048484e+00,1.4833999240e-07
2.9037671287e+00,8.3759807600e-08
2.9178294089e+00,8.7125914867e-08
2.9318916892e+00,1.3508698867e-07
2.9459539695e+00,1.5191090067e-07
2.9600162498e+00,8.8787787467e-08
2.9740785300e+00,9.0880670933e-08
2.9881408103e+00,1.3610282333e-07
2.9975625381e+00,1.5518108235e-07
