row,E_F,p_f_source,p_f_python,p_f_difference,p_t_source,p_t_python,p_t_difference,n_f_source,n_f_python,n_f_difference,n_t_source,n_t_python,n_t_difference
5.700000000000000000e+01,-8.855999999999999872e+00,4.534919658984647057e+27,4.535955802967972624e+27,1.036143983325566464e+24,4.534919658996300231e+27,4.535955802979635144e+27,1.036143983334912313e+24,1.426016296729869763e-31,1.426018685155808755e-31,2.388425938991721353e-37,-4.534919658996311776e+27,-4.535955802979635693e+27,-1.036143983323917196e+24
5.800000000000000000e+01,-8.852999999999999758e+00,4.528715830805240341e+27,4.529750604781772496e+27,1.034773976532155709e+24,4.528715830816892415e+27,4.529750604793435016e+27,1.034773976542601070e+24,1.455904752894366980e-31,1.455906917513930634e-31,2.164619563654803535e-37,-4.528715830816895714e+27,-4.529750604793436116e+27,-1.034773976540402046e+24
5.900000000000000000e+01,-8.849999999999999645e+00,4.522512253891088446e+27,4.523545653594780899e+27,1.033399703692453056e+24,4.522512253902742719e+27,4.523545653606442869e+27,1.033399703700149637e+24,1.485805432460038994e-31,1.485807393559502443e-31,1.961099463449363529e-37,-4.522512253902744918e+27,-4.523545653606444518e+27,-1.033399703699599881e+24
6.000000000000000000e+01,-8.846999999999999531e+00,4.516309213896237508e+27,4.517341235498353826e+27,1.032021602116317731e+24,4.516309213907911023e+27,4.517341235510016346e+27,1.032021602105322614e+24,1.515716999902930291e-31,1.515718776023450238e-31,1.776120519947304402e-37,-4.516309213907898928e+27,-4.517341235510016895e+27,-1.032021602117966998e+24
6.100000000000000000e+01,-8.843999999999999417e+00,4.510106965583387132e+27,4.511137605656289975e+27,1.030640072902842767e+24,4.510106965595044704e+27,4.511137605667951945e+27,1.030640072907240814e+24,1.545638264796179703e-31,1.545639872870447298e-31,1.608074267595147095e-37,-4.510106965595044154e+27,-4.511137605667953594e+27,-1.030640072909439837e+24
6.200000000000000000e+01,-8.840999999999999304e+00,4.503905736144073560e+27,4.504934991627649994e+27,1.029255483576434133e+24,4.503905736155737729e+27,4.504934991639312514e+27,1.029255483574784866e+24,1.575568166216526992e-31,1.575569621696792430e-31,1.455480265437689231e-37,-4.503905736155736080e+27,-4.504934991639313614e+27,-1.029255483577533645e+24
6.300000000000000000e+01,-8.837999999999999190e+00,4.497705728169644099e+27,4.498733596340149835e+27,1.027868170505736312e+24,4.497705728181314315e+27,4.498733596351812355e+27,1.027868170498039731e+24,1.605505758791186205e-31,1.605507075768849476e-31,1.316977663271825845e-37,-4.497705728181309367e+27,-4.498733596351812905e+27,-1.027868170503537289e+24
6.400000000000000000e+01,-8.835000000000000853e+00,4.491507122308003215e+27,4.492533600749298835e+27,1.026478441295619849e+24,4.491507122319653641e+27,4.492533600760960805e+27,1.026478441307164721e+24,1.635450200219954154e-31,1.635451391536960832e-31,1.191317006677967700e-37,-4.491507122319662987e+27,-4.492533600760961905e+27,-1.026478441298918384e+24
6.500000000000000000e+01,-8.832000000000000739e+00,4.485310079638210760e+27,4.486335166215226102e+27,1.025086577015341663e+24,4.485310079649872181e+27,4.486335166226888622e+27,1.025086577016441175e+24,1.665400740122448919e-31,1.665401817474899755e-31,1.077352450836496005e-37,-4.485310079649877678e+27,-4.486335166226889172e+27,-1.025086577011493372e+24
6.600000000000000000e+01,-8.829000000000000625e+00,4.479114743791981404e+27,4.480138436626217345e+27,1.023692834235940096e+24,4.479114743803642275e+27,4.480138436637879864e+27,1.023692834237589364e+24,1.695356710074428687e-31,1.695357684108562866e-31,9.740341341798232023e-38,-4.479114743803645574e+27,-4.480138436637880414e+27,-1.023692834234840585e+24
