U(V)	I(A)	T(C)
2.8334557273e+00	1.5305701733e-07	9.5452
2.8475180076e+00	8.4212495467e-08	17.0164
2.8615802878e+00	8.7325920933e-08	32.5375
2.8756425681e+00	1.4026664133e-07	41.2888
2.8897048484e+00	1.4833999240e-07	30.5617
2.9037671287e+00	8.3759807600e-08	19.4320
2.9178294089e+00	8.7125914867e-08	9.6817
2.9318916892e+00	1.3508698867e-07	16.6076
2.9459539695e+00	1.5191090067e-07	32.1811
2.9600162498e+00	8.8787787467e-08	41.3544
2.9740785300e+00	9.0880670933e-08	30.8014
2.9881408103e+00	1.3610282333e-07	19.6315
2.9975625381e+00	1.5518108235e-07	12.7189
